"age";"name";"man";"woman"
"20 лет";Нижегородская область;5583;7611
"20 лет";Новгородская область;448;661
"20 лет";Новосибирская область;6371;8436
"20 лет";Омская область;3748;4062
"20 лет";Оренбургская область;2052;3401
"20 лет";Орловская область;1333;1720
"20 лет";Пензенская область;2251;2314
"20 лет";Пермский край;3189;4501
"20 лет";Приморский край;2734;3311
"20 лет";Псковская область;527;800
"20 лет";Республика Адыгея;755;741
"20 лет";Республика Алтай;109;195
"20 лет";Республика Башкортостан;5849;7032
"20 лет";Республика Бурятия;952;1195
"20 лет";Республика Дагестан;3621;3887
"20 лет";Республика Ингушетия;335;448
"20 лет";Республика Калмыкия;397;437
"20 лет";Республика Карелия;671;930
"20 лет";Республика Коми;731;729
"20 лет";Республика Крым;2305;2800
"20 лет";Республика Марий Эл;979;1199
"20 лет";Республика Мордовия;1375;2085
"20 лет";Республика Саха (Якутия);1190;1227
"20 лет";Республика Северная Осетия - Алания;1431;1513
"20 лет";Республика Татарстан;9154;11887
"20 лет";Республика Тыва;167;321
"20 лет";Республика Хакасия;415;515
"20 лет";Ростовская область;8874;9162
"20 лет";Рязанская область;1697;2447
"20 лет";Самарская область;5713;7187
"20 лет";Саратовская область;4083;5827
"20 лет";Сахалинская область;213;251
"20 лет";Свердловская область;7498;9737
"20 лет";Смоленская область;1296;1779
"20 лет";Ставропольский край;3877;5261
"20 лет";Тамбовская область;1483;1821
"20 лет";Тверская область;1255;1869
"20 лет";Томская область;3662;3797
"20 лет";Тульская область;2050;2410
"20 лет";Тюменская область;3002;3932
"20 лет";Удмуртская Республика;2101;2955
"20 лет";Ульяновская область;2253;2397
"20 лет";Хабаровский край;2337;2820
"20 лет";Ханты-Мансийский автономный округ;1216;1599
"20 лет";Челябинская область;4364;6052
"20 лет";Чеченская Республика;2269;2862
"20 лет";Чувашская Республика;1888;2403
"20 лет";Чукотский автономный округ;4;1
"20 лет";Ямало-Ненецкий автономный округ;1;0
"20 лет";Ярославская область;1849;2614
"21 год";Алтайский край;3225;4345
"21 год";Амурская область;719;1162
"21 год";Архангельская область;994;1325
"21 год";Астраханская область;1641;2024
"21 год";Белгородская область;3384;3238
